DEPARTAMENTO,divipola,region_FB_id,poblacion,mau_audience_sep21,dau_audience_sep21,indicador_presion__sep21,mau_audience_nov15,dau_audience_nov15,indicador_presion_nov15,mau_audience_nov30,dau_audience_nov30,indicador_presion_nov30,mau_audience_dic15,dau_audience_dic15,indicador_presion_dic15,mau_audience_dic30,dau_audience_dic30,indicador_presion_dic30,mau_audience_jan15,dau_audience_jan15,indicador_presion_jan15,mau_audience_jan30,dau_audience_jan30,indicador_presion_jan30,mau_audience_feb15,dau_audience_feb15,indicador_presion_feb15,mau_audience_feb28,dau_audience_feb28,indicador_presion_feb28
#adm1+name,#adm1+pcode,#adm1+fbcode,#population+total,#inneed+migrants+monthly,#inneed+migrants+daily,#indicator+rate,#inneed+migrants+monthly,#inneed+migrants+daily,#indicator+rate,#inneed+migrants+monthly,#inneed+migrants+daily,#indicator+rate,#inneed+migrants+monthly,#inneed+migrants+daily,#indicator+rate,#inneed+migrants+monthly,#inneed+migrants+daily,#indicator+rate,#inneed+migrants+monthly,#inneed+migrants+daily,#indicator+rate,#inneed+migrants+monthly,#inneed+migrants+daily,#indicator+rate,#inneed+migrants+monthly,#inneed+migrants+daily,#indicator+rate,#inneed+migrants+monthly,#inneed+migrants+daily,#indicator+rate
Amazonas,91,716,78830,0,0,1269,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000,997,1269,0,0,0,0,0,0
Antioquia,5,717,6691030,110000,61070,1644,120000,68409,1793,120000,72133,1793,130000,76464,1943,130000,78204,1943,140000,84269,2092,140000,86097,2092,140000,83183,2092,140000,82922,2092
Arauca,81,718,270708,18000,7655,6649,19000,8252,7019,19000,8727,7019,20000,8441,7388,20000,9361,7388,22000,11095,8127,21000,11136,7757,20000,7984,7388,23000,10806,8496
Archipielago de San Andres Providencia y Santa Catalina,88,738,78413,1000,249,1275,0,0,0,1000,498,1275,0,0,0,0,0,0,1000,498,1275,0,0,0,1000,285,1275,1000,599,1275
Atlantico,8,719,2545924,170000,80630,6677,180000,84850,7070,190000,92573,7463,200000,95390,7856,190000,90801,7463,200000,93996,7856,190000,92097,7463,170000,84381,6677,250000,129917,9820
Bogota D.C.,11,747,8181047,430000,261021,5256,420000,249447,5134,1000,592,12,480000,284351,5867,480000,267007,5867,470000,272933,5745,470000,276612,5745,480000,277679,5867,420000,243843,5134
Bolivar,13,748,2171280,75000,41994,3454,72000,38822,3316,72000,38236,3316,73000,38333,3362,74000,39694,3408,77000,40062,3546,79000,42545,3638,78000,43779,3592,82000,44298,3777
Boyaca,15,749,1282063,7700,4573,601,9800,5421,764,9800,5899,764,10000,6153,780,10000,6071,780,11000,6353,858,12000,7095,936,11000,6999,858,17000,10478,1326
Caldas,17,750,993866,4200,1863,423,4600,2508,463,1000,579,101,5000,3260,503,4800,2704,483,5300,3159,533,5700,3507,574,5400,2803,543,6800,4393,684
Caqueta,18,722,496241,1800,1099,363,1700,796,343,3000,1238,605,2600,965,524,2200,1061,443,2000,999,403,1000,548,202,1700,927,343,1600,369,322
Casanare,85,745,375249,8800,4543,2345,14000,5743,3731,11000,5484,2931,12000,6719,3198,11000,5959,2931,11000,5696,2931,11000,0,2931,10000,5684,2665,11000,6839,2931
Cauca,19,723,1415933,5600,3404,395,11000,6482,777,1000,505,71,17000,8005,1201,14000,6767,989,13000,6977,918,1000,572,71,11000,6152,777,8700,4923,614
