admin1,cod,region_FB_id,poblacion,mau_audience_jan15,dau_audience_jan15,indicador_presion__jan15,mau_audience_jan30,dau_audience_jan30,indicador_presion__jan30,mau_audience_feb15,dau_audience_feb15,indicador_presion__feb15,mau_audience_feb28,dau_audience_feb28,indicador_presion__feb28
#adm1+name,#adm1+pcode,#adm1+fbcode,#population+total,#inneed+migrants+monthly,#inneed+migrants+daily,#indicator+rate,#inneed+migrants+monthly,#inneed+migrants+daily,#indicator+rate,#inneed+migrants+monthly,#inneed+migrants+daily,#indicator+rate,#inneed+migrants+monthly,#inneed+migrants+daily,#indicator+rate
AZUAY,,949,712127,8400,4662,1180,1000,659,140,8900,5438,1250,8500,4662,1194
BOLIVAR,,950,183641,1000,498,545,1000,498,545,1000,332,545,1000,249,545
CAÑAR,,951,225184,1000,499,444,1000,749,444,1000,713,444,1000,799,444
CARCHI,,952,164524,1100,499,669,1300,541,790,1300,928,790,1500,793,912
CHIMBORAZO,,953,458581,2600,1126,567,2700,1751,589,2700,1681,589,2600,1845,567
COTOPAXI,,954,409205,1300,721,318,1400,816,342,1400,599,342,1300,577,318
EL ORO,,955,600659,7600,5106,1265,8400,5435,1398,8500,5046,1415,8100,4764,1349
ESMERALDAS,,956,534092,2400,1322,449,2600,1624,487,2700,1707,506,2400,1155,449
GALAPAGOS,,948,25124,1000,997,3980,1000,997,3980,1000,997,3980,1000,997,3980
GUAYAS,,957,3645483,68000,40565,1865,72000,45792,1975,70000,43026,1920,80000,49461,2194
IMBABURA,,958,398244,1000,485,251,5800,3546,1456,5800,3004,1456,5300,2637,1331
LOJA,,959,448966,1200,569,267,1300,658,290,1300,706,290,1200,708,267
LOS RIOS,,960,778115,3700,1862,476,4200,2204,540,4300,2794,553,4200,2699,540
MANABI,,961,1369780,22000,13089,1606,24000,14753,1752,24000,15048,1752,23000,15061,1679
MORONA SANTIAGO,,962,147940,1000,333,676,1000,332,676,1000,997,676,1000,249,676
NAPO,,968,103697,1000,333,964,0,0,0,0,0,0,1000,166,964
ORELLANA,,969,136396,1000,444,733,1000,799,733,1000,888,733,1000,888,733
PASTAZA,,963,83933,1000,498,1191,1000,332,1191,1000,997,1191,1000,997,1191
PICHINCHA,,964,2576287,99000,61026,3843,100000,62173,3882,100000,61873,3882,100000,57180,3882
SANTA ELENA,,4203,308693,2200,1505,713,2500,1956,810,2600,1841,842,2100,1799,680
SANTO DOMINGO DE LOS TSACHILAS,,4204,368013,4600,3530,1250,5000,3069,1359,5000,3432,1359,5100,3432,1386
SUCUMBIOS,,967,176472,1300,866,737,1400,399,793,1400,419,793,1500,624,850
TUNGURAHUA,,965,504583,5200,3108,1031,5500,3309,1090,1000,677,198,6100,3988,1209
ZAMORA CHINCHIPE,,966,91376,1000,332,1094,1000,999,1094,0,0,0,1000,997,1094
