admin,poblacion,mau_audience_oct25,dau_audience_oct25,indicador_presion_oct25,mau_audience_nov15,dau_audience_nov15,indicador_presion_nov15,mau_audience_nov30,dau_audience_nov30,indicador_presion_nov30,mau_audience_dic15,dau_audience_dic15,indicador_presion_dic15,mau_audience_dec30,dau_audience_dec30,indicador_presion_dec30,mau_audience_jan15,dau_audience_jan15,indicador_presion_jan15,mau_audience_jan30,dau_audience_jan30,indicador_presion_jan30,mau_audience_feb15,dau_audience_feb15,indicador_presion_feb15,mau_audience_feb28,dau_audience_feb28,indicador_presion_feb28
#country+name,#population+total,#inneed+migrants+monthly,#inneed+migrants+daily,#indicator,#inneed+migrants+monthly,#inneed+migrants+daily,#indicator,#inneed+migrants+monthly,#inneed+migrants+daily,#indicator,#inneed+migrants+monthly,#inneed+migrants+daily,#indicator,#inneed+migrants+monthly,#inneed+migrants+daily,#indicator,#inneed+migrants+monthly,#inneed+migrants+daily,#indicator,#inneed+migrants+monthly,#inneed+migrants+daily,#indicator,#inneed+migrants+monthly,#inneed+migrants+daily,#indicator,#inneed+migrants+monthly,#inneed+migrants+daily,#indicator
Argentina,44521895,120000,63883,270,130000,69056,292,130000,67837,292,140000,71295,314,140000,69863,314,140000,71545,314,140000,76694,314,140000,531,314,140000,75180,314
Bolivia,11235388,7000,4242,62,7400,3899,66,7500,4141,67,7800,4254,69,7700,4315,69,7800,4988,69,7900,4480,70,7900,4428,70,8200,5193,73
Brasil,212813555,68000,36730,32,73000,39125,34,75000,43129,35,80000,43149,38,80000,44634,38,82000,43785,39,84000,47632,39,83000,47376,39,88000,50636,41
Chile,18349484,260000,164950,1417,270000,165381,1471,280000,175285,1526,290000,178626,1580,290000,174361,1580,310000,194138,1689,320000,204480,1744,320000,625,1744,330000,197886,1798
Colombia,49454150,1300000,724099,2629,1300000,706679,2629,1400000,773079,2831,1400000,762999,2831,1400000,770933,2831,1500000,828290,3033,1500000,848821,3033,1400000,787087,2831,1500000,838830,3033
Costa Rica,4963972,16000,9510,322,16000,10382,322,16000,9957,322,17000,9713,342,17000,10136,342,17000,10760,342,17000,10967,342,17000,684,342,17000,10977,342
Ecuador,16863410,200000,123233,1186,220000,128416,1305,230000,136033,1364,240000,140450,1423,240000,138950,1423,250000,152236,1482,250000,156852,1482,250000,152581,1482,260000,157213,1542
El Salvador,6375467,3200,1218,50,3400,886,53,3400,1077,53,3600,1668,56,3400,1901,53,3400,1394,53,3300,1574,52,3300,1368,52,3300,1368,52
Guayana Francesa,304000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Granada,109000,1000,997,917,1000,498,917,1000,498,917,1000,997,917,1000,498,917,1000,664,917,1000,498,917,1000,997,917,1000,997,917
Guatemala,16838489,6400,2715,38,6500,2736,39,6500,2910,39,6800,2956,40,6500,3019,39,6500,2827,39,6500,2652,39,6400,454,38,6500,2971,39
Guyana,791000,4600,2606,582,5100,2796,645,5400,3143,683,5700,3235,721,5700,2993,721,5800,3065,733,5900,3303,746,5700,3158,721,6100,3467,771
Haití,11166591,1000,666,9,1000,599,9,1000,749,9,1000,799,9,1000,665,9,1000,333,9,1000,599,9,1000,399,9,1000,333,9
Honduras,9194300,1800,514,20,1800,740,20,1800,740,20,2100,699,23,1900,518,21,1900,273,21,1900,516,21,1900,782,21,1900,518,21
Jamaica,2913000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000,498,34,1000,498,34,0,0,0
México,129498846,99000,55010,76,100000,55004,77,100000,54318,77,120000,64192,93,100000,57107,77,100000,56344,77,100000,59240,77,100000,56374,77,110000,62626,85
Nicaragua,6283437,2200,439,35,2300,836,37,2200,199,35,2400,872,38,2300,696,37,2300,849,37,2400,1379,38,2300,1234,37,2400,1090,38
Paraguay,6887093,4400,2566,64,4500,2454,65,4500,2785,65,4700,2841,68,4600,3763,67,4600,2933,67,4700,2758,68,4700,2914,68,1000,630,15
Panamá,4116176,80000,45882,1944,81000,42497,1968,81000,43955,1968,82000,42100,1992,81000,39483,1968,80000,42406,1944,80000,42373,1944,78000,513,1895,80000,41855,1944
Perú,32554092,490000,283905,1505,530000,301993,1628,570000,324671,1751,630000,349019,1935,600000,323999,1843,620000,356893,1905,630000,364967,1935,630000,361778,1935,640000,365652,3
Puerto Rico,3651000,3700,1958,101,3700,1899,101,3700,2199,101,3800,1767,104,3700,1898,101,3700,2004,101,3700,1892,101,3700,649,101,1000,609,27
República Dominicana,10889558,51000,28727,468,52000,28867,478,52000,30982,478,58000,32397,533,52000,28385,478,53000,29687,487,54000,28076,496,53000,28076,487,1000,554,9
Surinam,578000,1200,856,208,1200,899,208,1200,666,208,1300,974,225,1100,659,190,1000,714,173,1000,713,173,1000,665,173,1000,666,173
Uruguay,3468879,9700,5873,280,10000,5982,288,10000,5487,288,11000,6204,317,11000,5785,317,11000,7024,317,11000,6573,317,11000,6573,317,12000,7100,346
