admin1,cod,region_FB_id,poblacion,mau_audience_jan15,dau_audience_jan15,indicador_presion_jan15,mau_audience_jan30,dau_audience_jan30,indicador_presion_jan30,mau_audience_feb15,dau_audience_feb15,indicador_presion_feb15,mau_audience_feb28,dau_audience_feb28,indicador_presion_feb28
#adm1+name,#adm1+pcode,#adm1+fbcode,#population+total,#inneed+migrants+monthly,#inneed+migrants+daily,#indicator+rate,#inneed+migrants+monthly,#inneed+migrants+daily,#indicator+rate,#inneed+migrants+monthly,#inneed+migrants+daily,#indicator+rate,#inneed+migrants+monthly,#inneed+migrants+daily,#indicator+rate
Amazonas,1,2757,379384,0,0,0,1000,997,264,1000,498,264,1000,498,264
Ancash,2,2758,1083519,6900,3624,637,7500,3981,692,7400,3880,683,9100,4409,840
Apurimac,3,2759,405759,1000,249,246,1000,428,246,1000,799,246,1000,856,246
Arequipa,4,2760,1382730,13000,6886,940,14000,9161,1012,13000,8896,940,17000,10568,1229
Ayacucho,5,2761,616176,1000,532,162,1000,333,162,1100,366,179,1300,433,211
Cajamarca,6,2762,1341012,1800,1169,134,1900,1424,142,1900,1392,142,2100,1234,157
Callao,7,2763,994494,13000,7073,1307,15000,7814,1508,14000,8038,1408,28000,16028,2816
Cusco,8,2764,1205527,3700,2302,307,4000,2399,332,4100,2765,340,4000,2583,332
Huancavelica,9,2765,347639,1000,997,288,1000,0,288,1000,997,288,1000,749,288
Huanuco,10,2766,721047,1800,946,250,1600,0,222,1400,746,194,2000,999,277
Ica,11,2767,850765,5600,3357,658,7000,4611,823,7200,4176,846,9100,5023,1070
Junin,12,2768,1246038,3200,1918,257,3400,2443,273,3000,1999,241,1000,605,80
La Libertad,13,2769,1778080,39000,21571,2193,40000,23067,2250,38000,23525,2137,41000,23674,2306
Lambayeque,14,2770,1197260,9400,4335,785,9700,5282,810,9500,6100,793,1000,558,84
Lima,15,2771,9485405,470000,269834,4955,500000,290127,5271,490000,287391,5166,490000,277587,5166
Loreto,16,2772,883510,1000,333,113,2000,940,226,2700,1226,306,1600,559,181
Madre De Dios,17,2773,141070,1000,363,709,1200,599,851,1100,733,780,1000,266,709
Moquegua,18,2774,174863,1100,274,629,1500,856,858,1500,535,858,1000,683,572
Pasco,19,2775,254065,1000,749,394,1000,799,394,1000,499,394,1000,570,394
Piura,20,2776,1856809,9100,4856,490,10000,5792,539,10000,6153,539,13000,8199,700
Puno,21,2777,1172697,1000,830,85,1000,636,85,1000,635,85,1000,777,85
San Martin,22,2778,813381,3300,1959,406,2600,1155,320,2600,990,320,1000,387,123
Tacna,23,2779,329332,3000,1651,911,3500,2249,1063,3800,2344,1154,2600,1523,789
Tumbes,24,2780,224863,3700,1721,1645,4400,2530,1957,4400,2077,1957,1000,638,445
Ucayali,25,2781,496459,1100,732,222,1800,899,363,1900,1085,383,1000,532,201
