;Volumen de la conversación;Discusión negativa;Discusión positiva
21/01/2018;1976;454;1442
22/01/2018;1309;217;971
23/01/2018;1475;304;1118
24/01/2018;1625;322;1244
25/01/2018;1249;192;971
26/01/2018;1258;140;893
27/01/2018;1276;221;837
28/01/2018;1138;174;685
29/01/2018;1142;130;651
30/01/2018;1273;192;750
31/01/2018;1070;220;729
1/02/2018;2082;147;1782
2/02/2018;1811;112;1544
3/02/2018;945;86;753
4/02/2018;938;143;781
5/02/2018;1408;147;1073
6/02/2018;1981;163;1477
7/02/2018;1774;197;1329
8/02/2018;2552;203;1674
9/02/2018;3046;248;2059
10/02/2018;2740;330;2139
11/02/2018;2554;257;1765
12/02/2018;2542;487;1926
13/02/2018;3313;694;2306
14/02/2018;2395;703;1434
15/02/2018;1473;367;786
16/02/2018;2787;634;1775
17/02/2018;1629;389;1048
18/02/2018;1456;224;1085
19/02/2018;1040;166;820
20/02/2018;827;116;651
21/02/2018;1178;206;859
22/02/2018;1332;129;1063
23/02/2018;1332;206;971
24/02/2018;801;109;595
25/02/2018;1105;111;891
26/02/2018;1115;169;872
27/02/2018;1530;251;1152
28/02/2018;1016;130;750
1/03/2018;673;123;458
2/03/2018;950;166;681
3/03/2018;797;102;661
4/03/2018;1321;377;852
5/03/2018;1261;200;836
6/03/2018;1013;76;754
7/03/2018;1056;94;861
8/03/2018;1030;57;641
9/03/2018;1013;133;736
10/03/2018;952;93;805
11/03/2018;1187;179;859
12/03/2018;875;168;681
13/03/2018;1063;163;787
14/03/2018;892;112;680
15/03/2018;1384;154;567
16/03/2018;966;77;680
17/03/2018;872;64;695
18/03/2018;872;188;583
19/03/2018;1086;396;549
20/03/2018;1438;412;956
21/03/2018;1066;164;804
22/03/2018;1134;214;849
23/03/2018;905;303;501
24/03/2018;1151;553;439
25/03/2018;655;195;340
26/03/2018;584;156;353
27/03/2018;556;104;423
28/03/2018;940;62;849
29/03/2018;1081;316;722
30/03/2018;950;346;564
31/03/2018;738;305;404
1/04/2018;886;199;658
2/04/2018;1120;195;778
3/04/2018;1347;207;879
4/04/2018;789;148;597
